x-axis,1,2,3
second,Volt,Volt,Volt
-2.20000E-03,+70.35E-06,+2.01005027E+00,-276.05535E-03
-2.17500E-03,+70.35E-06,+1.80904524E+00,-420.52771E-03
-2.15000E-03,+70.35E-06,+2.01005027E+00,-276.05535E-03
-2.12500E-03,+70.35E-06,+1.80904524E+00,-276.05535E-03
-2.10000E-03,+70.35E-06,+1.91582916E+00,-370.27646E-03
-2.07500E-03,-507.54E-06,+1.80904524E+00,-276.05535E-03
-2.05000E-03,+95.48E-06,+1.80904524E+00,-470.77897E-03
-2.02500E-03,+70.35E-06,+1.85301509E+00,-276.05535E-03
-2.00000E-03,+70.35E-06,+1.90326635E+00,-276.05535E-03
-1.97500E-03,+296.48E-06,+1.95351760E+00,-276.05535E-03
-1.95000E-03,+95.48E-06,+1.80904524E+00,-276.05535E-03
-1.92500E-03,+70.35E-06,+1.80904524E+00,-276.05535E-03
-1.90000E-03,+874.37E-06,+1.80904524E+00,-276.05535E-03
-1.87500E-03,+874.37E-06,+1.80904524E+00,-276.05535E-03
-1.85000E-03,+874.37E-06,+1.80904524E+00,-276.05535E-03
-1.82500E-03,+874.37E-06,+1.80904524E+00,-276.05535E-03
-1.80000E-03,+874.37E-06,+1.80904524E+00,-276.05535E-03
-1.77500E-03,+1.45226E-03,+1.80904524E+00,-276.05535E-03
-1.75000E-03,+1.67839E-03,+1.80904524E+00,-276.05535E-03
-1.72500E-03,+874.37E-06,+1.80904524E+00,-276.05535E-03
-1.70000E-03,+1.67839E-03,+1.70226132E+00,-276.05535E-03
-1.67500E-03,+1.45226E-03,+1.75251258E+00,-276.05535E-03
-1.65000E-03,+1.67839E-03,+1.80904524E+00,-276.05535E-03
-1.62500E-03,+1.85427E-03,+1.80904524E+00,-320.02520E-03
-1.60000E-03,+2.48241E-03,+1.80904524E+00,-276.05535E-03
-1.57500E-03,+3.06030E-03,+1.80904524E+00,-276.05535E-03
-1.55000E-03,+3.28643E-03,+1.80276383E+00,-276.05535E-03
-1.52500E-03,+3.91457E-03,+1.60804021E+00,-320.02520E-03
-1.50000E-03,+4.89447E-03,+1.60804021E+00,-276.05535E-03
-1.47500E-03,+5.47236E-03,+1.60804021E+00,-332.58801E-03
-1.45000E-03,+6.50251E-03,+1.80276383E+00,-470.77897E-03
-1.42500E-03,+7.48241E-03,+1.60804021E+00,-276.05535E-03
-1.40000E-03,+9.71859E-03,+1.60804021E+00,-276.05535E-03
-1.37500E-03,+10.29648E-03,+1.60804021E+00,-276.05535E-03
-1.35000E-03,+12.13065E-03,+1.61432162E+00,-470.77897E-03
-1.32500E-03,+14.54271E-03,+1.60804021E+00,-276.05535E-03
-1.30000E-03,+17.75879E-03,+1.70226132E+00,-276.05535E-03
-1.27500E-03,+20.17085E-03,+1.60804021E+00,-477.06038E-03
-1.25000E-03,+20.17085E-03,+1.60804021E+00,-276.05535E-03
-1.22500E-03,+18.56281E-03,+1.60804021E+00,-433.09053E-03
-1.20000E-03,+16.95477E-03,+1.60804021E+00,-276.05535E-03
-1.17500E-03,+16.15075E-03,+1.60804021E+00,-276.05535E-03
-1.15000E-03,+16.92965E-03,+1.60804021E+00,-276.05535E-03
-1.12500E-03,+16.15075E-03,+1.60804021E+00,-276.05535E-03
-1.10000E-03,+16.15075E-03,+1.51381911E+00,-276.05535E-03
-1.07500E-03,+14.54271E-03,+1.46356785E+00,-276.05535E-03
-1.05000E-03,+11.32663E-03,+1.40703519E+00,-282.33676E-03
-1.02500E-03,+9.54271E-03,+1.60804021E+00,-276.05535E-03
-1.00000E-03,+7.30653E-03,+1.60804021E+00,-370.27646E-03
-975.00E-06,+5.69849E-03,+1.55150755E+00,-276.05535E-03
-950.00E-06,+4.89447E-03,+1.60804021E+00,-282.33676E-03
-925.00E-06,+4.09045E-03,+1.45100504E+00,-320.02520E-03
-900.00E-06,+3.28643E-03,+1.51381911E+00,-276.05535E-03
