#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Timestamp (s)
3.6064740000e+09, -4.7350391746e-01, -8.1298023462e-02, -6.3673535303e+00, -2.9715560440e+00, -3.9000000000e+01, 1.7513756993e+09
3.6064800000e+09, -4.7348281741e-01, -7.9056598246e-02, -6.3744981506e+00, -2.9761505564e+00, -3.9000000000e+01, 1.7513756993e+09
3.6064860000e+09, -4.7331279516e-01, -7.8302428126e-02, -6.3797718503e+00, -2.9776427458e+00, -3.9000000000e+01, 1.7513756993e+09
3.6064920000e+09, -4.7218498588e-01, -7.6044745743e-02, -6.4065510317e+00, -2.9819151025e+00, -3.9000000000e+01, 1.7513756993e+09
3.6064980000e+09, -4.7260549665e-01, -7.5579173863e-02, -6.4003525941e+00, -2.9830151833e+00, -3.9000000000e+01, 1.7513756993e+09
3.6065040000e+09, -4.7213348746e-01, -7.6448671520e-02, -6.4063048796e+00, -2.9810641926e+00, -3.9000000000e+01, 1.7513756993e+09
3.6065100000e+09, -4.7189977765e-01, -7.7557712793e-02, -6.4072510219e+00, -2.9786968425e+00, -3.9000000000e+01, 1.7513756993e+09
3.6065160000e+09, -4.6986988187e-01, -7.5128152966e-02, -6.4508148278e+00, -2.9830432830e+00, -3.9000000000e+01, 1.7513756993e+09
3.6065220000e+09, -4.7294986248e-01, -7.4100710452e-02, -6.3983752088e+00, -2.9861784035e+00, -3.9000000000e+01, 1.7513756993e+09
3.6065280000e+09, -4.7295215726e-01, -7.6162926853e-02, -6.3924657730e+00, -2.9819261713e+00, -3.9000000000e+01, 1.7513756993e+09
3.6065340000e+09, -4.7364446521e-01, -7.3751121759e-02, -6.3869097403e+00, -2.9871232050e+00, -3.9000000000e+01, 1.7513756993e+09
3.6065400000e+09, -4.7395542264e-01, -7.1775823832e-02, -6.3867735797e+00, -2.9912946612e+00, -3.9000000000e+01, 1.7513756993e+09
3.6065460000e+09, -4.7358947992e-01, -7.3468886316e-02, -6.3886798505e+00, -2.9876874465e+00, -3.9000000000e+01, 1.7513756993e+09
3.6065520000e+09, -4.7463732958e-01, -7.1246504784e-02, -6.3759922879e+00, -2.9925978166e+00, -3.9000000000e+01, 1.7513756993e+09
3.6065580000e+09, -4.7434544563e-01, -7.2282418609e-02, -6.3784119931e+00, -2.9903724749e+00, -3.9000000000e+01, 1.7513756993e+09
3.6065640000e+09, -4.7300842404e-01, -7.0159643889e-02, -6.4081104518e+00, -2.9943398642e+00, -3.9000000000e+01, 1.7513756993e+09
3.6065700000e+09, -4.7275811434e-01, -6.9673389196e-02, -6.4139020538e+00, -2.9952695558e+00, -3.9000000000e+01, 1.7513756993e+09
