#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Timestamp (s)
3.6067440000e+09, -4.7787889838e-01, -5.0561297685e-02, -6.3652963759e+00, -3.0361812465e+00, -4.2000000000e+01, 1.7513755741e+09
3.6067500000e+09, -4.7618088126e-01, -5.1550142467e-02, -6.3939589227e+00, -3.0337551383e+00, -4.2000000000e+01, 1.7513755741e+09
3.6067560000e+09, -4.7630894184e-01, -5.0622764975e-02, -6.3934435765e+00, -3.0357087723e+00, -4.2000000000e+01, 1.7513755741e+09
3.6067620000e+09, -4.7796711326e-01, -4.7872748226e-02, -6.3686890288e+00, -3.0417664947e+00, -4.2000000000e+01, 1.7513755741e+09
3.6067680000e+09, -4.7682788968e-01, -4.5444067568e-02, -6.3934979553e+00, -3.0465746743e+00, -4.2000000000e+01, 1.7513755741e+09
3.6067740000e+09, -4.7386413813e-01, -4.3845683336e-02, -6.4498996166e+00, -3.0493273997e+00, -4.2000000000e+01, 1.7513755741e+09
3.6067800000e+09, -4.7708505392e-01, -4.6009402722e-02, -6.3878793271e+00, -3.0454513937e+00, -4.2000000000e+01, 1.7513755741e+09
3.6067860000e+09, -4.7501683235e-01, -4.7739710659e-02, -6.4221742850e+00, -3.0414278945e+00, -4.2000000000e+01, 1.7513755741e+09
3.6067920000e+09, -4.7694477439e-01, -4.5680157840e-02, -6.3909811854e+00, -3.0461072915e+00, -4.2000000000e+01, 1.7513755741e+09
3.6067980000e+09, -4.7688311338e-01, -4.4204041362e-02, -6.3946054320e+00, -3.0491631111e+00, -4.2000000000e+01, 1.7513755741e+09
3.6068040000e+09, -4.7805821896e-01, -4.5290287584e-02, -6.3715789051e+00, -3.0471365539e+00, -4.2000000000e+01, 1.7513755741e+09
3.6068100000e+09, -4.7585391998e-01, -4.3992917985e-02, -6.4135651714e+00, -3.0494042364e+00, -4.2000000000e+01, 1.7513755741e+09
3.6068160000e+09, -4.7745096683e-01, -4.3189518154e-02, -6.3860318434e+00, -3.0513796408e+00, -4.2000000000e+01, 1.7513755741e+09
3.6068220000e+09, -4.7609850764e-01, -4.2512949556e-02, -6.4115724649e+00, -3.0525344144e+00, -4.2000000000e+01, 1.7513755741e+09
3.6068280000e+09, -4.7579789162e-01, -4.1633773595e-02, -6.4184233944e+00, -3.0543118994e+00, -4.2000000000e+01, 1.7513755741e+09
3.6068340000e+09, -4.7425454855e-01, -3.8645453751e-02, -6.4510276884e+00, -3.0602855651e+00, -4.2000000000e+01, 1.7513755741e+09
3.6068400000e+09, -4.7586229444e-01, -4.0471833199e-02, -6.4190728794e+00, -3.0567473698e+00, -4.2000000000e+01, 1.7513755741e+09
3.6068460000e+09, -4.7253432870e-01, -4.0206823498e-02, -6.4800034783e+00, -3.0567094838e+00, -4.2000000000e+01, 1.7513755741e+09
3.6068520000e+09, -4.7339257598e-01, -3.9915155619e-02, -6.4648046618e+00, -3.0574743801e+00, -4.2000000000e+01, 1.7513755741e+09
3.6068580000e+09, -4.7710195184e-01, -3.8135144860e-02, -6.4001176064e+00, -3.0618314195e+00, -4.2000000000e+01, 1.7513755741e+09
