#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Timestamp (s)
5.2168400000e+09, -2.9227086902e-01, -2.5615179539e-01, -8.2091951557e+00, -2.4219594356e+00, -3.5000000000e+01, 1.7513773112e+09
5.2168600000e+09, -2.9267993569e-01, -2.5609576702e-01, -8.2031441779e+00, -2.4227610608e+00, -3.5000000000e+01, 1.7513773112e+09
5.2168800000e+09, -2.9531955719e-01, -2.5335323811e-01, -8.1986981026e+00, -2.4325328244e+00, -3.5000000000e+01, 1.7513773112e+09
5.2169000000e+09, -2.9600903392e-01, -2.5347617269e-01, -8.1852366533e+00, -2.4334453775e+00, -3.5000000000e+01, 1.7513773112e+09
5.2169200000e+09, -2.9767143726e-01, -2.5017851591e-01, -8.2045517603e+00, -2.4426679550e+00, -3.5000000000e+01, 1.7513773112e+09
5.2169400000e+09, -2.9891988635e-01, -2.5185632706e-01, -8.1592011168e+00, -2.4414369365e+00, -3.5000000000e+01, 1.7513773112e+09
5.2169600000e+09, -3.0034291744e-01, -2.5065386295e-01, -8.1521426352e+00, -2.4461315120e+00, -3.5000000000e+01, 1.7513773112e+09
5.2169800000e+09, -3.0113640428e-01, -2.4842779338e-01, -8.1701645071e+00, -2.4518118548e+00, -3.5000000000e+01, 1.7513773112e+09
5.2170000000e+09, -3.0222198367e-01, -2.4842363596e-01, -8.1515976986e+00, -2.4535858871e+00, -3.5000000000e+01, 1.7513773112e+09
5.2170200000e+09, -3.0307748914e-01, -2.4467383325e-01, -8.1895359047e+00, -2.4624175613e+00, -3.5000000000e+01, 1.7513773112e+09
5.2170400000e+09, -3.0446866155e-01, -2.4468101561e-01, -8.1653095264e+00, -2.4646404863e+00, -3.5000000000e+01, 1.7513773112e+09
5.2170600000e+09, -3.0506533384e-01, -2.4282664061e-01, -8.1807174631e+00, -2.4693062649e+00, -3.5000000000e+01, 1.7513773112e+09
5.2170800000e+09, -3.0670347810e-01, -2.4125660956e-01, -8.1738058937e+00, -2.4750686585e+00, -3.5000000000e+01, 1.7513773112e+09
5.2171000000e+09, -3.0463099480e-01, -2.4141539633e-01, -8.2078889428e+00, -2.4714510527e+00, -3.5000000000e+01, 1.7513773112e+09
5.2171200000e+09, -3.0644184351e-01, -2.3905731738e-01, -8.2086488200e+00, -2.4791000603e+00, -3.5000000000e+01, 1.7513773112e+09
5.2171400000e+09, -3.0947297812e-01, -2.3816990852e-01, -8.1673462883e+00, -2.4856661039e+00, -3.5000000000e+01, 1.7513773112e+09
5.2171600000e+09, -3.0979481339e-01, -2.3670148850e-01, -8.1815520900e+00, -2.4891543902e+00, -3.5000000000e+01, 1.7513773112e+09
5.2171800000e+09, -3.1170785427e-01, -2.3302662373e-01, -8.1969288981e+00, -2.4996420088e+00, -3.5000000000e+01, 1.7513773112e+09
5.2172000000e+09, -3.1247851253e-01, -2.3255170882e-01, -8.1894824068e+00, -2.5018031814e+00, -3.5000000000e+01, 1.7513773112e+09
5.2172200000e+09, -3.1319022179e-01, -2.3258043826e-01, -8.1763735393e+00, -2.5028333200e+00, -3.5000000000e+01, 1.7513773112e+09
5.2172400000e+09, -3.1350585818e-01, -2.3085542023e-01, -8.1935767276e+00, -2.5068738034e+00, -3.5000000000e+01, 1.7513773112e+09
5.2172600000e+09, -3.1697878241e-01, -2.2966578603e-01, -8.1467909486e+00, -2.5145819489e+00, -3.5000000000e+01, 1.7513773112e+09
5.2172800000e+09, -3.1630277634e-01, -2.2831454873e-01, -8.1765674814e+00, -2.5163701781e+00, -3.5000000000e+01, 1.7513773112e+09
5.2173000000e+09, -3.1909894943e-01, -2.2639758885e-01, -8.1508152442e+00, -2.5245257599e+00, -3.5000000000e+01, 1.7513773112e+09
5.2173200000e+09, -3.1704798341e-01, -2.2761581838e-01, -8.1721916358e+00, -2.5189392955e+00, -3.5000000000e+01, 1.7513773112e+09
5.2173400000e+09, -3.1833544374e-01, -2.2506685555e-01, -8.1817771528e+00, -2.5261763932e+00, -3.5000000000e+01, 1.7513773112e+09
5.2173600000e+09, -3.1815257669e-01, -2.2307130694e-01, -8.2107519984e+00, -2.5300981856e+00, -3.5000000000e+01, 1.7513773112e+09
5.2173800000e+09, -3.1988424063e-01, -2.2047835589e-01, -8.2120534274e+00, -2.5381218847e+00, -3.5000000000e+01, 1.7513773112e+09
5.2174000000e+09, -3.2360637188e-01, -2.1990293264e-01, -8.1508613196e+00, -2.5447317585e+00, -3.5000000000e+01, 1.7513773112e+09
5.2174200000e+09, -3.2307076454e-01, -2.1809031069e-01, -8.1833330159e+00, -2.5478056802e+00, -3.5000000000e+01, 1.7513773112e+09
5.2174400000e+09, -3.2443737984e-01, -2.1556684375e-01, -8.1893232740e+00, -2.5551381530e+00, -3.5000000000e+01, 1.7513773112e+09
5.2174600000e+09, -3.2373133302e-01, -2.1717080474e-01, -8.1825604147e+00, -2.5507087734e+00, -3.5000000000e+01, 1.7513773112e+09
5.2174800000e+09, -3.2446491718e-01, -2.1593783796e-01, -8.1842326414e+00, -2.5543844311e+00, -3.5000000000e+01, 1.7513773112e+09
5.2175000000e+09, -3.2552593947e-01, -2.1303449571e-01, -8.2001518264e+00, -2.5621083048e+00, -3.5000000000e+01, 1.7513773112e+09
5.2175200000e+09, -3.2628121972e-01, -2.0990520716e-01, -8.2240685695e+00, -2.5699234570e+00, -3.5000000000e+01, 1.7513773112e+09
5.2175400000e+09, -3.2759779692e-01, -2.0891962946e-01, -8.2111588051e+00, -2.5738900189e+00, -3.5000000000e+01, 1.7513773112e+09
5.2175600000e+09, -3.2765772939e-01, -2.0735813677e-01, -8.2287639287e+00, -2.5773684244e+00, -3.5000000000e+01, 1.7513773112e+09
5.2175800000e+09, -3.2897377014e-01, -2.0578323305e-01, -8.2226016384e+00, -2.5826117142e+00, -3.5000000000e+01, 1.7513773112e+09
5.2176000000e+09, -3.3088129759e-01, -2.0632617176e-01, -8.1800522891e+00, -2.5840255322e+00, -3.5000000000e+01, 1.7513773112e+09
